V1;V2;V3;V4
6.2.1.3.9.00.00;  OUTRAS DEDUCOES DA RECEITA ORCAMEN    ;      746.401.351,69 ;D
6.2.1.8.1.00.00;  VARIACAO CAMBIAL POSITIVA AJUST CT    ;                0,00 ; 
6.2.1.8.2.00.00;  VARIACAO CAMBIAL NEGATIVA AJUST CT    ;                0,00 ; 
6.2.2.1.1.00.00;  CREDITO DISPONIVEL                    ;2.507.752.889.578,25 ;C
6.2.2.1.2.01.01;  CREDITO BLOQUEADO PARA REMANEJAMEN    ;    6.702.445.027,98 ;C
6.2.2.1.2.01.02;  CREDITO BLOQUEADO PARA CONTROLE IN    ;    9.094.120.969,66 ;C
6.2.2.1.2.01.05;  CREDITO BLOQUEADO PELA SOF            ;   22.183.811.792,00 ;C
6.2.2.1.2.01.06;  CREDITO BLOQUEADO PARA REMANEJAMEN    ;   17.831.993.493,00 ;C
6.2.2.1.2.01.07;  CONTROLE DE CREDITOS BLOQUEADOS       ;    5.505.069.668,00 ;C
6.2.2.1.2.01.08;  CREDITO BLOQUEADO - PROGRAMACAO OR    ;                0,00 ; 
6.2.2.1.2.02.00;  CREDITO PRE-EMPENHADO                 ;    2.722.888.146,49 ;C
6.2.2.1.3.01.00;  CREDITO EMPENHADO A LIQUIDAR          ;  741.122.506.777,19 ;C
6.2.2.1.3.02.00;  CREDITO EMPENHADO EM LIQUIDACAO       ;   33.185.683.649,85 ;C
6.2.2.1.3.03.00;  CREDITO EMPENHADO LIQUIDADO A PAGA    ;   90.212.285.478,53 ;C
6.2.2.1.3.04.00;  CREDITO EMPENHADO LIQUIDADO PAGO      ;1.305.280.583.698,63 ;C
6.2.2.2.1.01.00;  PROVISAO CONCEDIDA                    ;3.742.426.476.233,47 ;C
6.2.2.2.1.09.01;  ACRESCIMO                             ;  117.077.534.639,36 ;C
6.2.2.2.1.09.09;  REDUCAO                               ;  117.077.534.642,27 ;D
6.2.2.2.2.01.00;  DESTAQUE CONCEDIDO                    ;  117.528.955.625,90 ;C
6.2.2.2.2.03.00;  DESTAQUE CONCEDIDO - VARIACAO CAMB    ;        5.160.336,55 ;*
6.2.2.2.2.09.01;  ACRESCIMO                             ;   87.211.869.328,62 ;C
6.2.2.2.2.09.09;  REDUCAO                               ;   87.211.869.328,69 ;D
6.2.2.2.9.01.01;  CREDITO EMPENHADO A LIQUIDAR TRANS    ;       23.839.403,18 ;C
6.2.2.2.9.04.01;  CONTROLE DE PROVISAO CONCED. A UG     ;    5.077.620.114,65 ;C
6.2.2.2.9.04.02;  ANULACAO OU DEV. DE PROV. CONC. A     ;      675.008.398,78 ;D
6.2.2.2.9.05.01;  CONTROLE DE CREDITO EMP. POR UG NO    ;    6.067.889.950,42 ;C
6.2.2.2.9.05.02;  ANULACAO DE CREDITO EMP. POR UG NO    ;    1.788.046.042,43 ;D
6.2.2.2.9.06.00;  CONTROLE DE CRED. LIQUID. POR UG N    ;    1.964.884.582,35 ;C
6.2.2.2.9.07.00;  AJUSTE POR VARIACAO CAMBIAL - INTE    ;      507.722.301,45 ;C
6.2.2.2.9.08.00;  AJUSTE POR VARIACAO CAMBIAL - EXTE    ;       75.198.048,50 ;C
6.2.2.2.9.99.00;  OUTROS CONTROLES DE CREDITOS DESCE    ;   10.647.340.206,21 ;D
6.2.2.8.1.00.00;  VARIACAO CAMBIAL POSITIVA AJUST CT    ;                5,84 ;C
6.2.2.8.2.00.00;  VARIACAO CAMBIAL NEGATIVA AJUST CT    ;                5,88 ;D
6.2.2.9.1.01.00;  PRE-EMPENHOS A EMPENHAR               ;    2.665.068.609,66 ;C
6.2.2.9.1.02.00;  PRE-EMPENHOS EMPENHADOS               ;      448.629.169,68 ;C
6.2.2.9.2.01.01;  EMPENHOS A LIQUIDAR                   ;  741.122.506.777,37 ;C
6.2.2.9.2.01.02;  EMPENHOS EM LIQUIDACAO                ;   33.185.683.649,85 ;C
6.2.2.9.2.01.03;  EMPENHOS LIQUIDADOS A PAGAR           ;   90.212.285.478,55 ;C
6.2.2.9.2.01.04;  EMPENHOS PAGOS                        ;1.305.280.583.701,37 ;C
6.2.2.9.2.02.01;  CREDITO A LIQUIDAR - CONTROLE NA U    ;  741.055.119.900,01 ;C
6.2.2.9.2.02.02;  CREDITO EM LIQUIDACAO - CONTROLE N    ;   33.181.225.935,29 ;C
6.2.2.9.2.02.03;  CREDITO LIQUIDADO A PAGAR - CONTRO    ;   90.212.285.195,93 ;C
6.2.2.9.2.02.04;  CREDITO PAGO - CONTROLE NA UO         ;1.305.343.676.908,28 ;C
6.2.2.9.2.02.11;  AJUSTE POR VAR.CAMB.CRED.A LIQ.- U    ;       62.728.282,13 ;C
6.2.2.9.2.02.12;  AJUSTE POR VAR.CAMB.CRED.EM LIQ.-     ;          364.641,08 ;C
6.2.2.9.2.02.13;  AJUSTE POR VAR.CAMB.- CRED.LIQ.A P    ;              282,48 ;C
6.2.2.9.2.02.14;  AJUSTE POR VAR.CAMB.- CRED.PAGO-CO    ;       63.093.213,62 ;D
6.2.2.9.2.03.01;  EMPENHOS A LIQUIDAR E RPNP TRANSFE    ;       23.839.403,18 ;C
6.3.1.1.0.00.00;  RP NAO PROCESSADOS A LIQUIDAR         ;   83.595.705.385,64 ;C
6.3.1.2.0.00.00;  RP NAO PROCESSADOS A LIQUIDAR EM L    ;    3.968.491.550,55 ;C
6.3.1.3.0.00.00;  RP NAO PROCESSADOS LIQUIDADOS A PA    ;    1.517.443.657,19 ;C
6.3.1.4.0.00.00;  RP NAO PROCESSADOS PAGO               ;   65.528.774.465,39 ;C
6.3.1.5.1.00.00;  RPNP A LIQUIDAR BLOQUEADOS POR DEC    ;                0,00 ; 
6.3.1.5.2.00.00;  RPNP A LIQUIDAR EM LIQUIDACAO BLOQ    ;                0,00 ; 
6.3.1.6.1.00.00;  RPNP A LIQUIDAR TRANSFERIDO           ;      185.881.742,31 ;C
6.3.1.6.2.00.00;  RPNP A LIQUIDAR EM LIQUIDACAO TRAN    ;          161.648,35 ;C
6.3.1.6.3.00.00;  RPNP LIQUIDADOS A PAGAR TRANSFERID    ;            8.670,42 ;C
6.3.1.9.1.00.00;  CANCELAMENTOS POR INDISPONIBILIDAD    ;                0,00 ; 
6.3.1.9.8.00.00;  OUTROS CANCELAMENTOS DE RPNP          ;    4.200.447.352,44 ;C
6.3.1.9.9.00.00;  OUTROS CANCELAMENTOS DE RPNP EM LI    ;        1.671.369,99 ;C
6.3.2.1.0.00.00;  RP PROCESSADOS A PAGAR                ;    9.669.042.314,02 ;C
6.3.2.2.0.00.00;  RP PROCESSADOS PAGOS                  ;   66.006.631.768,97 ;C
6.3.2.6.0.00.00;  RPP TRANSFERIDOS POR FUSAO/CISAO/E    ;          868.324,50 ;C
6.3.2.9.1.01.00;  CANCELAMENTO DE RP PROCESSADOS - N    ;      238.844.649,76 ;C
6.3.2.9.1.97.01;  VARIACAO CAMBIAL POSITIVA AJUST CT    ;                3,63 ;C
6.3.2.9.1.97.02;  VARIACAO CAMBIAL NEGATIVA AJUST CT    ;                3,74 ;D
7.1.1.1.1.01.00;  GARANTIAS RECEBIDAS NO PAIS           ;  232.447.317.996,94 ;D
7.1.1.1.1.02.00;  GARANTIAS RECEBIDAS NO EXTERIOR       ;    8.588.019.539,06 ;D
7.1.1.1.1.03.00;  CONTRAGARANTIAS RECEBIDAS NO PAIS     ;  104.310.473.970,96 ;D
7.1.1.1.1.04.00;  CONTRAGARANTIAS RECEBIDAS NO EXTER    ;  148.814.046.483,10 ;D
7.1.1.1.2.01.00;  GARANTIAS RECEBIDAS NO PAIS           ;        1.536.632,32 ;D
7.1.1.1.4.01.00;  GARANTIAS RECEBIDAS NO PAIS           ;    1.757.908.140,69 ;D
7.1.1.1.5.01.00;  GARANTIAS RECEBIDAS NO PAIS           ;      227.847.512,53 ;D
7.1.1.2.1.01.01;  VALORES FIRMADOS                      ;   11.879.685.772,03 ;D
7.1.1.2.1.02.01;  VALORES FIRMADOS                      ;  265.568.802.680,31 ;D
7.1.1.3.1.01.00;  CONTRATOS DE SEGUROS                  ;       38.698.411,41 ;D
7.1.1.3.1.02.00;  CONTRATOS DE SERVICOS                 ;   13.877.584.065,83 ;D
7.1.1.3.1.03.00;  CONTRATOS DE ALUGUEIS                 ;    3.265.258.210,96 ;D
7.1.1.3.1.04.00;  CONTRATOS DE FORNECIMENTO DE BENS     ;      293.264.840,37 ;D
7.1.1.3.1.05.00;  CONTRATOS DE EMPRESTIMOS E FINANCI    ;       39.239.133,15 ;D
7.1.1.3.1.06.00;  CONTRATOS DE OBRIGACOES INTERNAS      ;   62.787.915.876,67 ;D
7.1.1.3.1.07.00;  CONTRATOS DE OBRIGACOES EXTERNAS      ;   64.123.735.297,18 ;D
7.1.1.3.1.08.00;  TERMOS/ACORDOS COOPERACAO             ;    1.600.485.076,91 ;D
7.1.1.3.1.09.00;  CONTRATOS DE SERVICOS C/CONTROLE P    ;      163.943.823,24 ;D
7.1.1.3.1.10.00;  CONTRATOS DE ALUGUEL C/CONTROLE PO    ;          166.456,00 ;D
7.1.1.3.1.11.00;  CONTRATO DE RATEIO DE CONSORCIOS P    ;        1.316.770,58 ;D
7.1.1.3.1.17.00;  CONTRATOS DE CESSAO DE BENS IMOVEI    ;          164.139,70 ;D
7.1.1.9.1.00.00;  OUTROS ATOS POTENCIAIS ATIVO - CON    ;      118.866.751,56 ;D
7.1.2.1.1.01.00;  GARANTIAS CONCEDIDAS NO PAIS          ;  138.080.403.538,34 ;D
7.1.2.1.1.02.00;  GARANTIAS CONCEDIDAS NO EXTERIOR      ;  165.489.905.381,38 ;D
7.1.2.1.1.03.00;  CONTRAGARANTIAS CONCEDIDAS NO PAIS    ;        1.588.057,18 ;D
7.1.2.2.1.01.01;  VALORES FIRMADOS                      ;  246.745.817.471,34 ;D
7.1.2.2.1.02.01;  VALORES FIRMADOS                      ;  265.568.802.680,31 ;D
7.1.2.2.1.03.00;  CONTRATOS DE REPASSE DE PROGRAMAS     ;      166.152.748,57 ;D
7.1.2.2.1.04.00;  TRANSFERENCIAS LEGAIS - VALOR FIRM    ;       63.094.619,05 ;D
7.1.2.3.1.01.00;  CONTRATOS DE SEGUROS                  ;      538.726.414,94 ;D
7.1.2.3.1.02.00;  CONTRATOS DE SERVICOS                 ;  137.926.360.322,69 ;D
7.1.2.3.1.03.00;  CONTRATOS DE ALUGUEIS                 ;    3.496.776.788,45 ;D
7.1.2.3.1.04.00;  CONTRATOS DE FORNECIMENTO DE BENS     ;  112.748.580.128,81 ;D
7.1.2.3.1.05.00;  CONTRATOS DE EMPRESTIMOS E FINANCI    ;    2.312.845.080,24 ;D
7.1.2.3.1.06.00;  CONTRATOS DE EMPRESTIMOS DO OOOC      ;    1.314.541.212,73 ;D
7.1.2.3.1.07.00;  OPERACOES C/ BENS E SERV.NO EXT.-     ;       10.678.650,05 ;D
7.1.2.3.1.08.00;  CONTRATOS DE SEGUROS C/ CONTROLE P    ;        1.184.304,71 ;D
7.1.2.3.1.09.00;  CONTRATOS DE SERVICOS C/CONTROLE P    ;    6.094.941.262,06 ;D
7.1.2.3.1.10.00;  CONTRATOS DE ALUGUEIS C/ CONTR.POR    ;      651.705.146,83 ;D
7.1.2.3.1.11.00;  CONTRATOS DE FORN.DE BENS C/ CONTR    ;      318.579.541,47 ;D
7.1.2.3.1.12.00;  CONTRATO DE GESTAO                    ;    3.985.274.793,29 ;D
7.1.2.3.1.13.00;  ACORDO TRANSF.RECURSOS P/ORG. INTE    ;    1.903.263.121,02 ;D
7.1.2.3.1.14.00;  CONTRATOS DE OPERACOES DE CREDITO     ;    5.931.257.138,56 ;D
7.1.2.3.1.15.00;  CAPITAL A INTEGRALIZAR EM ORGANISM    ;    3.166.931.299,14 ;D
7.1.2.3.1.17.00;  CONTRATOS DE CESSAO DE BENS IMOVEI    ;          164.139,70 ;D
7.1.2.9.1.01.00;  VALORES GARANTIAS APROV. NAO LIBER    ;    3.147.116.691,82 ;D
7.2.1.1.1.00.00;  DISPONIBILIDADE DE RECURSOS           ;3.442.882.216.552,03 ;D
7.2.2.1.1.00.00;  CONCESSAO DE COTAS                    ;4.642.298.954.646,00 ;D
7.2.2.1.2.00.00;  CONCESSAO DE REPASSES                 ;2.172.341.106.363,10 ;D
7.2.2.1.3.00.00;  CONCESSAO DE SUB-REPASSES             ;4.293.713.337.189,76 ;D
7.2.2.1.4.00.00;  RESTOS A PAGAR                        ;  699.645.324.808,14 ;D
7.2.2.1.5.00.00;  RESTITUICAO E COMPENSACAO DE RECEI    ;   12.232.793.439,55 ;D
7.2.2.2.1.00.00;  RECEBIMENTO DE COTAS                  ;4.673.461.131.449,00 ;D
7.2.2.2.2.00.00;  RECEBIMENTO DE REPASSES               ;2.172.341.106.363,22 ;D
7.2.2.2.3.00.00;  RECEBIMENTO DE SUB-REPASSES           ;4.293.713.337.190,67 ;D
7.2.2.2.4.00.00;  RESTOS A PAGAR                        ;  699.639.889.969,37 ;D
7.2.2.2.5.00.00;  RESTITUICAO E COMPENSACAO DE RECEI    ;   12.232.793.439,55 ;D
7.2.3.1.1.00.00;  LIMITE ORCAMENTARIO ESTABELECIDO      ;  131.261.084.101,00 ;D
7.2.3.2.0.01.00;  LIMITE ORCAMENTARIO AUTORIZADO        ;  131.261.084.101,00 ;D
7.2.3.2.0.02.00;  LIMITE ORCAMENTARIO RECEBIDO          ;  131.261.084.101,00 ;D
7.2.3.2.0.04.00;  COTA DE LIMITE ORCAMENT.RECEBIDO T    ;   82.464.603.198,38 ;D
7.2.4.1.1.01.00;  ARRECADACAO LIQUIDA POR COD.DE REC    ;  711.189.312.501,90 ;D
7.2.4.1.2.01.00;  ARRECADACAO LIQUIDA POR COD DE DES    ;  711.189.312.501,08 ;D
7.2.4.1.3.01.00;  ARRECADACAO LIQUIDA POR COD DE DES    ;  703.432.495.592,61 ;D
7.2.4.1.4.00.00;  CONTROLES DE PARCELAMENTOS E PGTO     ;    1.000.976.323,38 ;D
7.2.4.1.5.00.00;  CONTROLE DE RECEITAS A CLASSIFICAR    ;    4.032.481.061,28 ;D
7.2.4.1.6.00.00;  CONTROLE DE RECEITAS A CLASSIFICAR    ;    5.935.771.845,75 ;D
7.2.4.2.1.01.00;  ARRECADACAO LIQUIDA POR COD DE REC    ;  115.452.997.901,26 ;D
7.2.4.2.2.01.00;  ARRECADACAO LIQ POR COD DE DEST PR    ;  114.589.675.409,16 ;D
7.2.4.2.3.01.00;  ARRECADACAO LIQ POR COD DE DEST SE    ;  114.591.897.717,47 ;D
7.2.4.3.1.00.00;  ISS SUBSTITUICAO A DISTRIBUIR         ;      183.646.816,53 ;D
7.3.1.1.1.00.00;  DIVIDA ATIVA TRIBUTARIA NAO PREVID    ;      976.564.324,25 ;D
7.3.1.1.2.00.00;  DIVIDA ATIVA TRIBUTARIA PREVIDENCI    ;            1.074,19 ;D
7.3.1.1.3.00.00;  DIVIDA ATIVA NAO TRIBUTARIA           ;    1.080.716.371,19 ;D
7.3.2.1.3.00.00;  DIVIDA ATIVA NAO TRIBUTARIA           ;        3.142.150,20 ;D
7.4.1.1.0.00.00;  PASSIVOS CONTINGENTES                 ;1.391.547.259.174,39 ;D
7.4.2.1.2.00.00;  REESTRUTURACAO DE DIVIDAS             ;      765.000.000,00 ;D
7.4.2.1.4.00.00;  ASSUNCAO DE OBRIGACOES POR EXTINCA    ;    5.175.000.000,00 ;D
7.4.2.1.9.00.00;  DEMAIS RISCOS FISCAIS                 ;      104.000.000,00 ;D
7.6.3.3.0.00.00;  CONTROLES DA DESPESA COM PESSOAL -    ;      305.477.592,63 ;D
7.9.1.1.0.00.00;  PAGAMENTOS EFETUADOS                  ;1.473.118.445.346,46 ;D
7.9.1.2.0.00.00;  PGTO DE RESTITUICAO E COMPENSACAO     ;   20.591.762.786,72 ;D
7.9.2.1.1.00.00;  EMISSAO DE DARF                       ;  102.958.834.375,30 ;D
7.9.2.1.2.00.00;  EMISSAO DE GPS                        ;    2.641.640.683,24 ;D
7.9.2.1.3.00.00;  EMISSAO DE DAR                        ;      196.153.086,58 ;D
7.9.2.1.4.00.00;  EMISSAO DE GFIP                       ;      308.266.646,17 ;D
7.9.2.1.5.00.00;  EMISSAO DE GRU                        ;   54.697.148.245,55 ;D
7.9.2.2.1.00.00;  INGRESSOS                             ;       83.950.980,08 ;D
7.9.2.2.2.00.00;  DISPONIBILIDADES DE RECURSO POR DE    ;   11.904.382.310,72 ;D
7.9.4.2.1.01.00;  DISPONIBILDADE DE COTA RECEBIDA       ;                0,00 ; 
7.9.4.2.1.02.00;  DISPONIBILDADE DE COTA CONCEDIDA      ;                0,00 ; 
7.9.4.2.2.01.00;  DISPONIBILDADE DE REPASSE RECEBIDO    ;                0,00 ; 
7.9.4.2.2.02.00;  DISPONIBILDADE DE REPASSE CONCEDID    ;                0,00 ; 
7.9.4.2.3.01.00;  DISPONIBILDADE DE SUBREPASSE RECEB    ;                0,00 ; 
7.9.4.2.3.02.00;  DISPONIBILDADE DE SUBREPASSE CONCE    ;                0,00 ; 
7.9.4.3.1.00.00;  DISPONIBILIDADE DE RECURSOS POR TE    ;    7.720.297.961,42 ;D
7.9.4.3.2.00.00;  DISPONIBILDADE DE RECURSOS POR TED    ;    7.717.991.865,04 ;D
7.9.5.1.1.00.00;  REGISTRO DAS INSCRICOES               ;   24.171.508.230,73 ;D
7.9.5.1.2.00.00;  REGISTRO DAS VARIACOES ORDINARIAS     ;   22.979.059.769,42 ;D
7.9.5.1.3.00.00;  REGISTRO DAS VAR. EXTRAORDINARIAS     ;      944.557.898,69 ;D
7.9.5.1.4.00.00;  REGISTRO DAS VAR. EXTRAORDINARIAS     ;    2.721.648.990,95 ;C
7.9.5.1.5.00.00;  REGISTRO DAS AMORTIZACOES             ;    1.420.020.330,40 ;C
7.9.5.1.6.00.00;  REGISTRO DAS EXCLUSOES                ;   10.851.547.494,14 ;C
7.9.5.1.9.00.00;  DIVIDA ATIVA - OUTROS REGISTROS       ;    2.238.777.770,97 ;C
7.9.6.1.1.01.00;  LIMITE DE EMISSAO ORCAMENTARIA        ;2.542.580.608.907,00 ;D
7.9.6.4.1.00.00;  OPERACOES DE CREDITO EXTERNAS CONC    ;    1.995.613.216,36 ;D
7.9.6.4.2.00.00;  OPERACOES DE CREDITO EXTERNAS RECE    ;    1.959.721.502,43 ;D
7.9.6.4.3.00.00;  CONTR OP CRED EXTERNA EXECUTADA PO    ;   32.941.497.311,07 ;D
7.9.6.4.4.00.00;  CONTR OPER CRED EXTERNA EXECUTADA     ;   32.941.497.328,47 ;D
7.9.6.4.5.01.00;  CONTROLE DA COFIN                     ;   12.441.870.913,53 ;D
7.9.6.4.5.02.00;  CONTROLE DA UG                        ;   12.141.139.463,80 ;D
7.9.6.4.6.00.00;  LIBERACAO DE VALORES NA MOEDA DO P    ;   29.902.111.154,40 ;D
7.9.6.5.1.00.00;  CONTROLE DA COFIN                     ;  180.350.227.135,79 ;D
7.9.6.5.2.00.00;  CONTROLE DA UG RESPONSAVEL PELO PR    ;   50.537.042.720,17 ;D
7.9.6.9.1.01.00;  CONTROLE SAQUE DA CTA ESPECIAL POR    ;        1.790.687,68 ;D
7.9.6.9.1.02.00;  VARIACAO CAMBIAL-RECURSOS EXT.CONC    ;       29.298.595,19 ;D
7.9.6.9.1.03.00;  RECURSOS EXECUTADOS A REGULARIZAR     ;               36,10 ;D
7.9.6.9.2.02.00;  VARIACAO CAMBIAL-RECURSOS EXT.CONC    ;       17.158.181,22 ;D
7.9.6.9.2.03.00;  RECURSOS EXECUTADOS A REGULARIZAR     ;               36,10 ;D
7.9.7.1.1.00.00;  RESPONSABILIDADES DE TERCEIROS        ;   86.571.929.742,56 ;D
7.9.7.2.1.00.00;  RESPONSABILIDADE COM TERCEIROS        ;  545.582.270.013,24 ;D
7.9.7.3.1.00.00;  DIVERSOS RESPONSAVEIS EM APURACAO     ;    3.967.447.641,35 ;D
7.9.7.3.2.00.00;  DIVERSOS RESPONSAVEIS APURADOS        ;   27.956.782.836,96 ;D
7.9.9.1.1.00.00;  CONTROLE DA EXECUCAO FISICA DE PRO    ;   93.446.070.759,38 ;D
7.9.9.1.4.01.00;  CONTROLE DE ESTOQUE PARA PRODUCAO     ;      192.570.669,87 ;D
7.9.9.1.4.03.00;  REGISTRO DE CUSTOS DOS PRODUTOS VE    ;       18.705.111,21 ;D
7.9.9.1.4.04.00;  REGISTRO DE CUSTO DOS SERVICOS VEN    ;      185.877.315,80 ;D
7.9.9.1.5.01.00;  INCORPORACAO DE SERVICOS DE TERCEI    ;        6.664.132,48 ;D
7.9.9.1.5.02.00;  INCORPORACAO DE DIARIAS E AJUDA DE    ;                0,00 ; 
7.9.9.1.6.01.00;  INCORPORACAO DA FOPAG - TOTAL DA R    ;       35.399.469,36 ;D
7.9.9.1.6.02.00;  INCORPORACAO -  PROVISAO PARA 13º     ;       17.178.637,54 ;D
7.9.9.1.7.01.00;  FATURAS A RECEBER - ATIVIDADE PRIN    ;      163.250.798,06 ;D
7.9.9.1.7.02.00;  FATURAS A RECEBER DAS OMPS - ATIV     ;      393.331.543,65 ;D
7.9.9.1.9.01.00;  ADIANTAMENTOS ESCRITURAIS RECEBIDO    ;      310.017.463,89 ;D
7.9.9.9.1.01.00;  CONTROLE DE RESTITUICAO DE CONTRIB    ;      570.920.999,58 ;D
7.9.9.9.1.02.00;  CONTROLE INADIMPLENCIA EMPREST/FIN    ;   24.466.080.905,37 ;D
7.9.9.9.1.03.00;  CONTROLE DE PASSIVOS EM PROCESSO D    ;   97.541.665.579,72 ;D
7.9.9.9.1.04.01;  CONTROLE DE PRECATORIOS PAGOS - EX    ;    6.087.377.634,40 ;D
7.9.9.9.1.04.02;  CONTROLE PRECATORIOS PAGOS - EXERC    ;   52.153.472.753,09 ;D
7.9.9.9.1.04.03;  PRECATÓRIOS A PAGAR - UG DE ORIGEM    ;   61.904.058.963,55 ;D
7.9.9.9.1.04.04;  PRECATÓRIOS A PAGAR - PODER JUDICI    ;   63.248.572.811,87 ;D
7.9.9.9.1.04.05;  REQ DE PEQ VALOR/RPV A PAGAR - UG     ;   13.914.196.951,32 ;D
7.9.9.9.1.04.06;  REQ PEQ VALOR A PAGAR/RPV - PODER     ;   13.932.275.199,31 ;D
7.9.9.9.1.04.07;  PSSS PATRONAL A RECOLHER - UG DE O    ;      255.989.369,59 ;D
7.9.9.9.1.04.08;  PSSS PATRONAL A RECOLHER - PODER J    ;      255.989.369,59 ;D
7.9.9.9.1.04.09;  CONTROLE PROVISAO RPVS CANCELADAS     ;      169.234.302,27 ;D
7.9.9.9.1.04.10;  CONTROLE PROVISAO RPVS CANCELADAS     ;      169.234.302,27 ;D
7.9.9.9.1.04.11;  CONTROLE DE PASSIVOS CONTINGENTES     ;   16.221.640.470,88 ;D
7.9.9.9.1.04.12;  CONTROLE DE PASSIVOS CONTINGENTES     ;   16.221.640.470,88 ;D
7.9.9.9.1.06.00;  CONTROLE DA EMISSAO DE TITULO DIVI    ;  206.715.389.151,45 ;D
7.9.9.9.1.07.00;  CONTROLE DE BENEFICIARIO - AUXILIO    ;      186.023.022,36 ;D
7.9.9.9.1.08.01;  EXECUCAO DA RECEITA NO ORGAO DA DE    ;   81.653.394.713,31 ;D
7.9.9.9.1.08.02;  CONTROLE DA ARRECADACAO NA UG ARRE    ;1.432.207.722.923,22 ;D
7.9.9.9.1.08.03;  CONTROLE DE ARRECADACAO DE RECEITA    ;      175.210.815,64 ;D
7.9.9.9.1.08.04;  CONTROLE DE ARRECADACAO DE RECEITA    ;        2.683.519,10 ;D
7.9.9.9.1.08.05;  ARRECADACAO POR GRU - UG/FONTE/VIN    ;      522.517.707,77 ;D
7.9.9.9.1.09.00;  CONTROLE DE VALORES A RECEBER - FC    ;        8.853.025,23 ;D
7.9.9.9.1.10.00;  CONTROLE EMPRESTIMO/FINANCIAMENTO     ;    6.424.972.463,21 ;D
7.9.9.9.1.11.00;  CONTROLE DO CARTAO DE PAG. GOV.FED    ;       34.694.497,94 ;D
7.9.9.9.1.12.01;  ORDENS BANCARIAS TV EMITIDAS          ;    3.318.069.263,57 ;D
7.9.9.9.1.12.04;  OBTV DE TRANSF.CTA TV PARA A CTU A    ;        2.243.191,54 ;D
7.9.9.9.1.12.05;  TRANSFERENCIA DA CONTA TV PARA CON    ;      253.736.241,86 ;D
7.9.9.9.1.12.06;   RECURSOS DE TRANSF. VOLUNTARIA -     ;    8.689.043.236,81 ;D
7.9.9.9.1.13.01;  HON.DEFENSORES DATIVOS-ACOES PROC.    ;        1.445.996,30 ;D
7.9.9.9.1.13.02;  HONORARIOS DEFENSORES DATIVOS-ACOE    ;          817.516,38 ;D
7.9.9.9.1.13.03;  HONORARIOS DEFENSORES DATIVOS-ACOE    ;        9.112.660,39 ;D
7.9.9.9.1.13.04;  HONOR.DEFENSORES DATIVOS-MANDADO D    ;           56.855,03 ;D
7.9.9.9.1.13.05;  HONORARIOS DEFENSORES DATIVOS-HABE    ;            1.100,28 ;D
7.9.9.9.1.13.06;  HONOR.DEFENSORES DATIVOS-EXECUCOES    ;          452.303,96 ;D
7.9.9.9.1.13.07;  HONOR. DEFENSORES DATIVOS-EXECUCOE    ;          251.582,44 ;D
7.9.9.9.1.13.08;  HONOR.DEFENSORES DATIVOS-ACOES PRO    ;          101.884,90 ;D
7.9.9.9.1.13.09;  HON.DEFENSORES DATIVOS-FEITO NAO C    ;           64.304,99 ;D
7.9.9.9.1.13.10;  HON. DEFENSORES DATIVOS-PROCEDIMEN    ;          591.085,13 ;D
7.9.9.9.1.13.12;  HONORARIOS PERICIAIS - ENGENHARIA     ;       33.440.843,48 ;D
